Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
BreakoutDetection,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,-5.66336689326,6,2994,31,397,4032
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.5,-4.0,0,13501,0,1580,15831
BreakoutDetection,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.5,0.632566303583,3,1619,2,214,2162
BreakoutDetection,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5,-9.24,0,3386,42,0,4032
BreakoutDetection,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.5,-3.0,0,1155,0,153,1538
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.5,-3.0,0,13660,0,1432,15842
BreakoutDetection,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.5,1.77254802899,8,1870,1,242,2495
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.5,-4.0,0,13520,0,1588,15858
BreakoutDetection,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,0.791924596467,17,3021,4,386,4032
BreakoutDetection,reward_low_FP_rate,realTraffic/speed_7578.csv,0.5,-0.956911868537,4,837,5,112,1127
BreakoutDetection,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,0.985876389014,2,15801,0,1497,18050
BreakoutDetection,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.5,-1.63208450522,2,1402,8,188,1882
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-0.442315584723,3,929,2,123,1243
BreakoutDetection,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5,-3.0,0,3082,0,346,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-3.22,0,3462,1,465,4621
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.5,-4.0,0,13564,0,1588,15902
BreakoutDetection,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-1.0,0,3025,0,403,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-2.0,0,3026,0,402,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-1.0,0,3025,0,403,4032
BreakoutDetection,reward_low_FP_rate,realTraffic/speed_6005.csv,0.5,-16.845369096,11,1805,81,228,2500
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-2.22,0,3025,1,402,4032
BreakoutDetection,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-5.46854542211,4,2994,31,399,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-1.0,0,3548,0,473,4730
BreakoutDetection,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.5,-15.4805417046,26,13456,75,1559,15866
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-2.44,0,3024,2,402,4032
BreakoutDetection,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-5.60843578724,4,2994,31,399,4032
BreakoutDetection,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5,-34.0767281326,26,5618,173,700,7267
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,0.0,0,3428,0,0,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,-2.0,0,3026,0,402,4032
BreakoutDetection,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.5,-19.5346639109,14,1118,101,148,1624
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-16.2959173314,20,2940,85,383,4032
BreakoutDetection,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,1.34136588547,2,3026,0,400,4032
Totals,,,,-466.919801725,279,297324,2023,33216,365558
